ukrball100;mathball100;physball100;year
118;122;0;2018
187;178;157;2018
184;183;180;2018
145;133;104;2018
111;0;0;2018
165;114;0;2018
179;146;109;2018
129;100;0;2018
111;0;0;2018
127;127;117;2018
123;111;104;2018
142;0;0;2018
176;170;161;2018
175;164;121;2018
114;0;117;2018
167;152;143;2018
132;131;0;2018
124;127;131;2018
145;140;145;2018
184;148;147;2018
181;191;168;2018
112;0;104;2018
112;150;131;2018
169;157;163;2018
116;0;113;2018
139;152;125;2018
191;163;113;2018
135;114;104;2018
123;182;128;2018
179;188;178;2018
105;0;0;2018
180;168;163;2018
151;150;140;2018
102;107;104;2018
116;0;0;2018
107;100;0;2018
114;114;113;2018
146;172;135;2018
145;148;125;2018
134;107;109;2018
102;0;0;2018
102;104;0;2018
135;114;109;2018
169;164;121;2018
193;191;181;2018
147;117;125;2018
123;111;113;2018
153;173;155;2018
157;124;0;2018
185;191;183;2018
158;178;149;2018
182;146;145;2018
127;104;113;2018
126;119;113;2018
146;152;117;2018
179;183;174;2018
116;111;100;2018
142;140;117;2018
124;107;113;2018
0;0;0;2018
153;117;0;2018
162;114;113;2018
157;107;109;2018
121;127;128;2018
171;164;145;2018
158;117;121;2018
163;159;135;2018
159;180;145;2018
142;117;113;2018
123;0;0;2018
182;175;135;2018
146;124;113;2018
174;157;159;2018
114;104;0;2018
0;107;0;2018
165;186;143;2018
134;111;125;2018
104;107;0;2018
160;117;100;2018
148;129;100;2018
114;104;0;2018
166;157;125;2018
126;0;104;2018
164;146;125;2018
159;117;109;2018
167;197;191;2018
104;107;104;2018
123;104;0;2018
181;185;183;2018
192;191;180;2018
141;155;155;2018
157;136;117;2018
187;166;104;2018
135;117;0;2018
184;166;128;2018
138;117;113;2018
132;0;109;2018
136;117;117;2018
134;104;125;2018
153;164;140;2018
146;153;117;2018
189;193;195;2018
134;100;0;2018
187;198;191;2018
148;114;113;2018
168;127;131;2018
158;183;168;2018
127;155;138;2018
173;186;157;2018
156;188;166;2018
